"","X","Date","text"
"41",40,"2022-04-29 15:30:09+00:00","Boris Becker, the six-time Grand Slam tennis champion, was sentenced to two and a half years in prison on Friday, after he was found guilty by a London court of hiding millions of dollars’ worth of assets and loans to avoid paying his debts. https://t.co/3jTem6N9Dj"
"42",41,"2022-04-29 15:01:07+00:00","In Opinion

""It is now quite plausible that Donald Trump could win re-election in 2024,"" David Brooks writes. ""If we’re going to prevent that kind of catastrophe, it might be a good idea to learn a few relevant lessons.""
https://t.co/oQrahfulVr"
"43",42,"2022-04-29 14:45:07+00:00","A shipment of five million honeybees was diverted to Atlanta and left out on a hot tarmac. Local beekeepers tried to come to the rescue, but very few survived. https://t.co/mK67K48D5j"
"44",43,"2022-04-29 14:36:23+00:00","Exxon Mobil and Chevron on Friday reported a second consecutive quarter of robust earnings as oil and natural gas prices continued to rise. The companies said they were not seeking to ramp up production despite pressure from the Biden administration. https://t.co/NjGNKI9yt6"
"45",44,"2022-04-29 14:30:11+00:00","A strict Covid lockdown in Shanghai highlighted China’s power to enforce its “zero-Covid” strategy. It also fueled deep frustration with the government’s failures and overreach.

 See what life under lockdown is like in China’s largest city.
https://t.co/fIgKZTt4fW"
"46",45,"2022-04-29 14:10:05+00:00","In Opinion

“It is unlikely that anyone has accurately predicted exactly what a Musk-led Twitter will look like,” writes Amelia Tait, a British journalist, in a guest essay. “But one thing is certain: You’d be a fool to believe in the sanctity of his vows.”https://t.co/3UyMXDHaKQ"
"47",46,"2022-04-29 14:00:03+00:00","Elon Musk sold $4 billion in Tesla stock this week, filings show, as he amasses the funds he needs to buy Twitter. He tweeted that no further sales were planned. https://t.co/BZ8Eb5WBKC"
"48",47,"2022-04-29 13:55:07+00:00","James Corden, who has hosted “The Late Late Show” since 2015, will leave the CBS show next year, he said Thursday. Signature bits like “Carpool Karaoke” made him an overnight star. https://t.co/CyVMIBBWxp"
"49",48,"2022-04-29 13:50:05+00:00","The mayor of Mariupol made a desperate appeal to the international community to save those trapped at the Azovstal steel plant, which has become the last holdout for Ukrainian fighters and civilians.

“If Mariupol is hell, Azovstal is worse,” he said.
https://t.co/ANdEGb45X8"
"50",49,"2022-04-29 13:33:05+00:00","Lyudmyla Denisova, Ukraine’s top human rights official, has been identifying, documenting and bearing witness to human rights violations since Russia’s invasion. Russian by origin, she has a personal understanding of repression by the Kremlin.
https://t.co/5p5otnXbkW https://t.co/syIYXa1Wcv"
"51",50,"2022-04-29 13:15:04+00:00","Hollywood’s biggest studios have stopped releasing movies in Russia since the invasion of Ukraine, and Netflix has ceased service there.

In a Cold War throwback, some venues are showing bootleg versions of the latest releases.
https://t.co/sdW2IBuenB"
"52",51,"2022-04-29 13:00:09+00:00","Elon Musk’s extensive investments in China could be at risk if Twitter upsets the Communist Party state, which has banned the platform but used it extensively to push Beijing’s narrative around the globe — often with false or misleading information.
https://t.co/3KdmyWZCzA"
"53",52,"2022-04-29 12:36:01+00:00","President Joko Widodo of Indonesia confirmed that he invited President Volodymyr Zelensky of Ukraine to the G20 summit in Bali in November. He also said President Vladimir Putin of Russia confirmed that he would attend the summit.
https://t.co/yS9wogTa4L"
"54",53,"2022-04-29 12:29:06+00:00","As the horrors of Russia’s invasion of Ukraine have became clearer, the Biden administration has pivoted to a more aggressive stance.

What risks are involved in this escalation? Listen to today’s episode of The Daily.
https://t.co/LkPFb8zJGz"
"55",54,"2022-04-29 12:15:05+00:00","Few soccer players have been boiled down to statistics quite so much as Thiago Alcantara of Liverpool. But his favorable metrics fail to capture what makes him an integral part of the team, writes our soccer correspondent, @RorySmith. https://t.co/CzCpEvIE9e"
"56",55,"2022-04-29 12:11:02+00:00","Contrary to popular belief, the Anglo-Saxon ruling classes rarely ate meat, a new study found.

“When they were not having these big public feasts,” an author of the study said, “they were eating a vegetable broth with their bread like everyone else.”
https://t.co/pZDcUw0ig7"
"57",56,"2022-04-29 12:01:09+00:00","Here are the results of the first round of the NFL draft in Las Vegas on Thursday.
https://t.co/IpQrlibc0w"
"58",57,"2022-04-29 11:27:04+00:00","Nearly 52 million South Koreans may soon have up to two years shaved off their ages (on paper), if President-elect Yoon Suk-yeol keeps a campaign promise to scrap the nation’s unique system for counting how old people are.
https://t.co/LOzLUJShk2"
"59",58,"2022-04-29 11:00:13+00:00","Round 1 of the NFL draft was a big night for linemen, receivers and the state of Georgia, but a very quiet one for quarterbacks.

Here's what we learned. https://t.co/BSINN4UvTU"
"60",59,"2022-04-29 10:32:06+00:00","Russian forces are making “slow and uneven” progress in fierce fighting in the Donbas region of eastern Ukraine, but are still struggling to overcome the same supply line problems that hampered their initial offensive, a Pentagon official said. https://t.co/9HvdPO4xdc"
"61",60,"2022-04-29 10:25:05+00:00","The Jets made a trade to add a third first-round pick in the NFL draft on Thursday, using it to select the Florida State defensive end Jermaine Johnson II at No. 26. https://t.co/HY1BrA1y3X"
"62",61,"2022-04-29 10:20:07+00:00","An equine influenza virus likely caused the mysterious respiratory disease that has killed at least 95 wild horses and forced a holding facility in Colorado to go under quarantine, the Bureau of Land Management said.
https://t.co/QIN8cQOLEP"
"63",62,"2022-04-29 10:10:05+00:00","The eurozone economy grew by 0.2% during the first three months of the year as rising prices, flagging consumer confidence related to the war in Ukraine and supply chain disruptions dragged the region’s recovery from the pandemic. https://t.co/lk8zrWDllS"
"64",63,"2022-04-29 10:05:06+00:00","The Titans selected Treylon Burks, a wide receiver from Arkansas, with the No. 18 pick in the first round of the NFL draft. The move was enabled by the blockbuster trade of AJ Brown to the Philadelphia Eagles. https://t.co/Fmih0PDCph"
"65",64,"2022-04-29 10:00:05+00:00","Ireland’s latest census included a blank box for people to leave a message for the future. These so-called time capsules will be sealed away, to be revealed in 100 years.
https://t.co/mONdzaipxV"
"66",65,"2022-04-29 09:50:06+00:00","The Baltimore Ravens selected the Iowa center Tyler Linderbaum with the No. 25 pick in the first round of the NFL draft on Thursday. https://t.co/vlhjPBHjNh"
"67",66,"2022-04-29 09:29:03+00:00","Ukraine published the names and photos of 10 Russian soldiers whom they accuse of kidnapping and torturing unarmed civilians in the town of Bucha, the most detailed accusation yet against Russian forces in Ukraine.
https://t.co/TBB74V5FsO https://t.co/pBR5ilCpJF"
"68",67,"2022-04-29 09:15:06+00:00","Here's a look at some of the highlights worth watching from late-night TV. https://t.co/gLoF6gXiQx"
"69",68,"2022-04-29 08:54:27+00:00","Ukraine’s Holocaust survivors have early memories of fleeing bombs or hearing about massacres of other Jews, including their relatives.

Now elderly and fragile, they are escaping war once more. But this time they are seeking safety in Germany.
https://t.co/8HhcJkbG1X"
"70",69,"2022-04-29 08:32:08+00:00","The premier of the British Virgin Islands was arrested on Thursday in Miami on drug trafficking and money laundering charges, the authorities said. https://t.co/6G1c45DTwI"
"71",70,"2022-04-29 08:00:09+00:00","No matter how stocked your vacation rental may be, here are five items @wirecutter suggests you bring with you, just in case. https://t.co/EDvWktO9pu https://t.co/2v2ACDHzvk"
"72",71,"2022-04-29 07:28:07+00:00","A day after Russia cut off gas supplies to Poland and Bulgaria, the German chancellor, Olaf Scholz, said that Germany could be next. “We have to be ready for it,” he said. https://t.co/P4iM2pQRmj"
"73",72,"2022-04-29 07:00:15+00:00","The British military will send 8,000 troops to Europe as part of a larger allied deployment, the Joint Expeditionary Force, to deter further Russian aggression, officials said. https://t.co/FdS3zI1qC9"
"74",73,"2022-04-29 06:00:06+00:00","Russia struck Kyiv with missiles after weeks of peace in Ukraine’s capital, showing that it would not relent in its assault. President Biden asked Congress to authorize $33 billion more in aid for Ukraine.

Follow live updates. https://t.co/BRyUWOi5ee"
"75",74,"2022-04-29 05:00:10+00:00","""Youth is a mind-set that Martha is still really owning."" Martha Stewart is the new face of skin care on TikTok. https://t.co/vxYMaFxZti"
"76",75,"2022-04-29 04:40:06+00:00","In a year when control of Congress is at stake and the Republican Party is dominated by the right, Senator Lisa Murkowski of Alaska is running for re-election by leaning into her bipartisan ties as a proud GOP moderate willing to defy party orthodoxy. https://t.co/DIxSabzGqk"
"77",76,"2022-04-29 04:00:11+00:00","Probiotic supplements that claim to prevent or treat common vaginal problems like yeast infections and bacterial vaginosis are lining drugstore shelves and online marketplaces. But do they work? Here's what experts say. https://t.co/skHDBSJCad"
"78",77,"2022-04-29 03:40:03+00:00","In Opinion
“When I look at the broader cultural landscape, I feel isolated in my permissiveness,” writes Matt Gross. “Parents — or at least the parents who seem to win media attention — are freaking out over everything their kids see, read and do.”
https://t.co/JDPbGPZrno"
"79",78,"2022-04-29 03:00:03+00:00","The Ukrainian soprano Liudmyla Monastyrska, replacing the Russian soprano Anna Netrebko in “Turandot” at the Metropolitan Opera, is using her platform to defend her country. “I was surprised, but I felt it was important for me to sing,” Monastyrska said. https://t.co/B8vWWdR3ge"
"80",79,"2022-04-29 03:00:02+00:00","President Biden signaled a vast increase in America’s commitment to defeating Russia in Ukraine on Thursday as he asked Congress to authorize $33 billion for more artillery, antitank weapons and other hardware as well as economic and humanitarian aid. https://t.co/WeI5sPGruI"
"81",80,"2022-04-29 02:40:02+00:00","Masks will again be required on Bay Area Rapid Transit, making the largest transit system in the San Francisco area the only one currently enforcing a masking requirement.
https://t.co/31BLnW5zzU"
"82",81,"2022-04-29 02:30:04+00:00","Russian forces are making “slow and uneven” progress in fierce fighting in the Donbas region of eastern Ukraine, but are still struggling to overcome the same supply line problems that hampered their initial offensive, a Pentagon official said. https://t.co/9cp0FpQPwR"
"83",82,"2022-04-29 02:10:02+00:00","The premier of the British Virgin Islands was arrested on Thursday in Miami on drug trafficking and money laundering charges, the authorities said. https://t.co/hlzgPqXMJs"
"84",83,"2022-04-29 02:00:07+00:00","In Michigan, the Republican old guard is protesting the direction of the party after it put forward two candidates endorsed by Donald Trump — both outspoken about 2020 election falsehoods — for attorney general and secretary of state. https://t.co/vwL33cmfkR"
"85",84,"2022-04-29 01:40:03+00:00","Airbnb told employees that they would have the option to permanently work remotely, joining a number of companies that have ditched return-to-office plans. U.S. employees can also move to anywhere in the country without a reduction to their compensation. https://t.co/AfF2lgUgI3"
"86",85,"2022-04-29 01:30:03+00:00","A shipment of five million honeybees was diverted to Atlanta and left out on a hot tarmac. Local beekeepers tried to come to the rescue, but very few survived. https://t.co/KiBIZwvtxC"
"87",86,"2022-04-29 01:10:04+00:00","Russian forces carried out an airstrike on Thursday on a residential neighborhood in the central Ukrainian city of Zaporizhzhia, Ukrainian authorities said, obliterating nearly an entire block of single-family homes, though no residents were killed. https://t.co/1TXTjVKfc6 https://t.co/7iI6HeVGBF"
"88",87,"2022-04-29 01:00:07+00:00","New York City has canceled one of three homeless shelters it planned to open in Chinatown after resistance from residents who feared that more shelters would mean an increase in anti-Asian hate crimes, many of which have been linked to homeless people.
https://t.co/81HYRsdDR3"
"89",88,"2022-04-29 00:26:21+00:00","The Jacksonville Jaguars selected Travon Walker, a defensive lineman from Georgia, with the No. 1 pick in the NFL draft. 

Follow live NFL draft updates here. 
https://t.co/fdNah7FjhK"
"90",89,"2022-04-29 00:20:06+00:00","A study found that for predicting some dog behaviors, breed is essentially useless, and for most, not very good. https://t.co/JYD3pcfOIs https://t.co/sRDNDvjSgT"
"91",90,"2022-04-29 00:00:05+00:00","A jury in Colorado awarded $8.75 million on Wednesday to the plaintiffs in a civil lawsuit who accused a former fertility doctor of using his own sperm to impregnate at least a dozen women via artificial insemination over more than two decades. https://t.co/JuQBcIqQty"
"92",91,"2022-04-28 23:40:06+00:00","Sheryl Crow battled sexism in the music industry and darkness for decades. Now, she’s telling her story in a new documentary: “I see myself as a person, as opposed to who I saw myself as at the time, which was an artist and a woman fronting a company.” https://t.co/kGXEEdIRzF"
"93",92,"2022-04-28 23:00:11+00:00","Republicans' new fake threat: GOP candidates in Ohio and elsewhere have created a new stolen election fiction by falsely saying that undocumented immigrants are committing voter fraud, a claim that has been repeatedly discredited. https://t.co/UPg0ElEUUJ"
"94",93,"2022-04-28 22:40:06+00:00","Walter Isaacson, who wrote about Benjamin Franklin and Steve Jobs, is working on a new biography about Elon Musk. It’s like “trying to take notes while drinking from a fire hose,” he said. https://t.co/7KanEnPPFf"
"95",94,"2022-04-28 22:00:18+00:00","Ramadan is a time of community, when friends, families and even strangers come together to break their fast. The iftar meal is a chance to take stock at a moment when many say that Sudan is drifting perilously, leaving them uncertain what comes next. https://t.co/xYkAhTyTxQ"
"96",95,"2022-04-28 21:55:04+00:00","James Corden, who has hosted “The Late Late Show” since 2015, will leave the CBS show next year. Signature bits like “Carpool Karaoke” made him an overnight star. https://t.co/Hp312uEQwO"
"97",96,"2022-04-28 21:50:11+00:00","The city of Redmond, Washington, has reached a $7.5 million settlement with the family of Andrea Thomas Churna, 39, who was fatally shot in her apartment building in September 2020 by a police officer who responded to her 911 call for help. https://t.co/Z5RqaJGdjK"
"98",97,"2022-04-28 21:32:26+00:00","Breaking News: Oklahoma lawmakers approved a bill banning abortions after about six weeks of pregnancy. The ban would limit access for women in the state and those coming there to work around increasingly strict laws in the South. https://t.co/872uqNfohB"
"99",98,"2022-04-28 21:15:06+00:00","Victims of discrimination that is forbidden by four federal statutes may not sue if the only harm was emotional distress, the Supreme Court ruled on Thursday. The decision was split, 6 to 3, along ideological lines. https://t.co/PilFw7zrDe"
"100",99,"2022-04-28 21:00:09+00:00","In states like Pennsylvania, Nevada and Georgia, the battle over sweeping new restrictions on voting are spilling into the midterm elections — many Republicans driving the clampdown are on the ballot themselves this year.
https://t.co/70zAKbH6wn"
"101",100,"2022-04-28 20:40:05+00:00","Florida has enacted new restrictions on abortion, curriculum, sexual orientation, gender identity and even Disney. Under Gov. Ron DeSantis, the state’s political identity has turned into a laboratory of possibility for the political right. https://t.co/7TQpUdnQW8"
"102",101,"2022-04-28 20:20:09+00:00","President Biden is considering wiping out some student loan debt and will make a decision soon, he said. The amount would not be $50,000 per borrower, which some Democrats and advocates are pushing for as a way to address economic and racial disparities.
https://t.co/h95Tyq1C3O"
"103",102,"2022-04-28 20:00:05+00:00","The release of a former U.S. Marine as part of a prisoner exchange with Russia on Tuesday brought fresh attention to the cases of other Americans who are still detained in Russia, including Brittney Griner. Here's what we know so far about her case. https://t.co/oAx5PYA3AF"
"104",103,"2022-04-28 19:45:03+00:00","Is the coronavirus now endemic? Officials in Mexico, the EU and elsewhere have recently said they are moving on from the acute phase of the pandemic. As other global leaders urge caution, we examined what it means for a disease to be endemic. https://t.co/HqB2XAV9nJ"
"105",104,"2022-04-28 19:30:13+00:00","Despite the tens of thousands of lawsuits filed against the company over concerns about asbestos contamination, Johnson &amp; Johnson’s investors voted against a proposal to discontinue global sales of its talc baby powder. https://t.co/27zxl0QQaJ"
"106",105,"2022-04-28 19:15:05+00:00","Twitter executives and content moderators warned that Elon Musk doesn’t understand the issues that can arise if he drops the app’s guardrails around speech. https://t.co/md7MCCHLkA"
"107",106,"2022-04-28 19:00:09+00:00","The oceans could experience a mass extinction by 2300 if fossil fuel emissions continue to rise, a study found. The species loss would be on par with the mass extinction that wiped out the dinosaurs — but there is still time to avoid it. https://t.co/0DFeVCIjFc"
"108",107,"2022-04-28 18:40:07+00:00","“The cost of this fight is not cheap,” President Biden said on Thursday as he called on Congress to approve $33 billion in additional aid for Ukraine, arguing that American weapons and humanitarian assistance are helping to beat back Russian forces. https://t.co/2iY3UkbwyB https://t.co/QBMijABMDt"
"109",108,"2022-04-28 18:20:08+00:00","Measles cases have surged by nearly 80% worldwide so far this year, a dire consequence of pandemic-related disruptions to childhood vaccinations, the UN Children’s Fund and the WHO said. https://t.co/SsweqeR3af"
"110",109,"2022-04-28 18:00:13+00:00","France’s traditional left- and right-wing parties provided three-quarters of the country’s presidents and nearly all of its prime ministers since the 1950s. But in the first round of April’s presidential election, they got less than 7% of the vote. https://t.co/6MDUinNMWz"
"111",110,"2022-04-28 17:45:07+00:00","As unions decline and many members maintain support for Donald Trump, Democrats like Rep. Marcy Kaptur of Ohio are finding their base of support eroding. And now, a new Republican-drawn district outside Cleveland has robbed her of reliable votes. https://t.co/uiWkb3mPT4"
"112",111,"2022-04-28 17:30:05+00:00","The Snapchat maker unveiled a pocket-size drone camera on Thursday called Pixy that it’s selling for $229.99. https://t.co/CvtkTDmhGQ"
"113",112,"2022-04-28 17:20:07+00:00","President Biden asked Congress on Thursday for $33 billion in additional aid for Ukraine, saying “the cost of this fight is not cheap,” but that, “caving to aggression is going to be more costly if we allow it to happen.” https://t.co/xqhUaHPBLb https://t.co/ewvSvrh5dB"
"114",113,"2022-04-28 17:00:14+00:00","“There’s definitely a sci-fi element to it,” an engineer who worked on Perseverance’s parachute system said of photographs released on Wednesday. “It exudes otherworldly, doesn’t it?”
https://t.co/aT4JuAp8tX https://t.co/dDvNkam63s"
"115",114,"2022-04-28 16:30:06+00:00","The FDA announced a plan to ban sales of menthol-flavored cigarettes. Public health experts say the proposal could save hundreds of thousands of lives, especially among Black smokers — 85% of whom use menthol products. https://t.co/tR0bxqPZGK https://t.co/dL33QsHaH6"
"116",115,"2022-04-28 16:25:05+00:00","The son of the novelist Paul Auster, Daniel Auster, who was charged in the death of his 10-month-old daughter from heroin and fentanyl exposure, died on Tuesday following a drug overdose, two law enforcement officials said. https://t.co/GJSlgOAI0W"
"117",116,"2022-04-28 16:00:08+00:00","Frankie Light is one of the newest “YouTube polyglots.” He studies languages and practices them in New York, enlisting strangers as impromptu conversational partners: “I wanted to prove that I could do something challenging if I put my mind to it.” https://t.co/WB8rFF99AA"
"118",117,"2022-04-28 15:42:43+00:00","Breaking News: The FDA announced a plan to ban sales of menthol-flavored cigarettes. Public health experts say the proposal could save hundreds of thousands of lives, especially among Black smokers — 85% of whom use menthol products. https://t.co/EQWMC8gTNs"
"119",118,"2022-04-28 15:40:35+00:00","Over the past 15 years, many college-educated workers have experienced a gap between their expectations and their job prospects. Now, they’re fighting back by unionizing, raising the possibility of a once-in-a-century revival of the labor movement. https://t.co/VoLhZ45EVG"
"120",119,"2022-04-28 15:30:16+00:00","In Opinion

President Biden has done more for rural America than Donald Trump ever did, Robert Leonard, an author, writes in a guest essay. ""The rural economy is stronger, wages are higher and infrastructure projects are popping up all over."" https://t.co/6NV3BvJiu2"
"121",120,"2022-04-28 15:25:20+00:00","“The cost of this fight is not cheap, but caving to aggression is going to be more costly if we allow it to happen,” President Biden said in a speech on Russia’s war in Ukraine.

Watch live, with analysis from our reporters. https://t.co/8jjv4IvDdp"
"122",121,"2022-04-28 15:15:01+00:00","Twitter reported $1.2 billion in revenue for the first three months of the year, up 16% from a year before but lower than the 20% growth rate the company predicted for the year, giving Elon Musk an up-close look at the strength of his newest business. https://t.co/hr1BtaZojV"
