,tweetcreatedts,text,language,username
2,2021-12-24 22:54:02+00:00,@FoxNews Keep that shit in Russia,en,demsrnuts21
3,2021-12-24 20:06:06+00:00,"@FoxNews So NH Jones not happy about Press failure to react to her theory. Im a little upset about the Press failure to explore Hunter Biden’s Ukraine connection or his laptop. I guess it’s safe to assume the Press picks and chooses it topics, so generally not objectve. Oh well, too bad.",en,1975_rpc
4,2021-12-24 19:23:28+00:00,@FoxNews Putin is DAMN RIGHT! Imagine MOSCOW's long range missiles in CUBA and NICARAGUA. The naked truth is that it is NATO and NOT Moscow which is pushing for a MILITARY confrontation. As far as AI am concerned the relation between UKRAINE and RUSSIA is NONE of NATO's business!!!,en,GunoSra
5,2021-12-24 19:09:57+00:00,@FoxNews Rest assured of a US deployment to Poland should the Evil Empire take Ukraine.,en,RAPhil
6,2021-12-24 19:01:37+00:00,@FoxNews Let's nuke russia and then there will be peace in Europe,en,holsher
7,2021-12-24 18:56:33+00:00,@FoxNews We should have done what General Patton say and take out Russia while we had the troops there to do it. Then we would not be this tension of war.,en,domjrcam
8,2021-12-24 18:52:34+00:00,@FoxNews Putin doesn’t get to make demands of the U.S. especially if he’s preparing to invade Ukraine.,en,SteveBassDC
9,2021-12-24 18:50:42+00:00,@FoxNews trump capitulated to russia in person watered down sanctions ukraine trump was foreign policy disaster china had him for breakfast thy r now surrounding us with their goods and services like their a weapon russia's weapon cybercrime their not firing a shot but they r winning,en,BowelTodays
10,2021-12-24 18:43:37+00:00,@FoxNews Can't this guy take a hint? Quit threatening Ukraine!,en,RWDISTILLI
11,2021-12-24 18:16:16+00:00,"@FoxNews Now there is someone that makes Biden look cheap when you consider how much money she got from foreign countries. How did she sell American uranium to a Russian and make $Billions? How did Bill make $700,000 fir giving a 15 minute speech in Russia? She paid a Russian for Dossier!",en,Frank5928
12,2021-12-24 04:26:23+00:00,@FoxNews Wrong analyses bring to wrong actions. Stop supporting nazies. Nato is the enemy at the gate. Enough is Enough. From Russia with love.,en,babinetc
13,2021-12-24 04:14:18+00:00,@FoxNews Which is it? A strategy to garner leverage. Or whatnot? Either case. It cannot be a or else nothing. If the West does not solve for a betterment of relations? Be it non con form of a re miss all? At behalf of Russia. They will have no reason to behave. Call better business bureau,en,IAmSergeyR
14,2021-12-24 03:42:01+00:00,@FoxNews To start war with Russia #Russia #Hillary #Democrats #Biden #Putin,en,czech1948
15,2021-12-24 03:28:27+00:00,"@FoxNews Americas leadership has proven to the two most dangerous adversaries on earth, we are weak and unprepared. Maybe the racist extremist terrorists of the BLM communist movement can lay their lives down for Ukraine. I'd support that. Putin needs to act now.",en,5050Ashna
16,2021-12-24 02:09:32+00:00,@FoxNews Didn't the last guy abandoned Ukraine ?\n\nhttps://t.co/ukbFyOl1Ze,en,rokmoto131
17,2021-12-24 02:06:48+00:00,@FoxNews This something like N.Korea China..only diff here Ukraine is Democratic,en,WPXX5
18,2021-12-24 01:58:21+00:00,@FoxNews Yeahhhh caude the 100k Russian troops at Ukraine's border is just for training exercises!?\nThe stage is being set and\nwe're being suckered in! https://t.co/IcjZgUXtOc,en,vipersnke
19,2021-12-24 01:53:05+00:00,@FoxNews Putin wants Ukraine and China wants Taiwan.,en,aanalyst50
20,2021-12-24 01:50:14+00:00,@FoxNews How dare the west try to defend a sovereign state ... not that a buffer between the rest of Europe and Russia isn't a good thing as well. He should stay out of Ukraine and so should the West ... unless Putin continues to threaten.,en,BSheepleherder
21,2021-12-24 01:42:31+00:00,@FoxNews We need to give Ukraine our full military support.,en,godfrey58kevin
0,2021-12-25 20:51:48+00:00,"@FoxNews @KimStrassel @MaryAnastasiaOG #journaleditorialreport It's clear Biden inherited Trump's foreign policy disasters in Iran, Afghanistan, Russia, and  China. Then Trump initiated an insurrection over the big lie after he lost fair and square.  Condemn Trump.",en,DesdeSher
1,2021-12-25 20:17:32+00:00,@FoxNews The USA Emigration department or ICE act no diferent that the Nazis not because they want to its because the policy of the USA not diferent than the Countries we criticize like Chinao or Russia !,en,CajinaNeftali
2,2021-12-25 14:05:35+00:00,@FoxNews Will trade Ukraine for Siberia.,en,Marcuorelius
3,2021-12-25 11:32:36+00:00,"@FoxNews @TuckerCarlson @JudgeJeanine @seanhannity @greggutfeld  we need more love and understanding from china,US and russia.we have to bear with one another's differences or we'll just fight forever with no end in sight.we can't go on living like this.everybody is miserable !!!",en,Kennydancerfun
4,2021-12-25 07:57:02+00:00,"@FoxNews The best defense is attack. Russia, Capital riot.. dems on the attacking model non stop, it makes republicans no time to fight back, even there found nothing in Russia shit for 4 years, dems are getting away from all crimes and keep attack. Jan 6 will be the same.",en,erinli_lin
5,2021-12-25 06:00:08+00:00,"@FoxNews Snd FOX thinks this is something good to post.   Kick Murdoch out of the US.   Murdoch,   Go live in Russia.  Putin can be your leader.",en,drvancouver
0,2021-12-26 23:36:30+00:00,@FoxNews Well we were fuming over the vulgar left wing slur of Trump Russia collusion.  That was actually far more damaging to credibility of the President btw.,en,SBADJ1
1,2021-12-26 23:04:50+00:00,@FoxNews There is no God given right to anything. This former police officer should go live in Russia and see what rights he has there.,en,mmkennedypei
2,2021-12-26 22:26:40+00:00,@FoxNews Russia and China are awesome!,en,Rock07227907
3,2021-12-26 22:25:39+00:00,@FoxNews Putin is firmly in control of the situation he must think Joe is too good to be true. He can do whatever he wants and America isn’t going to do anything about it. They’re getting their pipeline and they’re still going to take Ukraine these are all calculated moves.,en,CindyBoivin20
4,2021-12-26 21:57:20+00:00,@FoxNews Do not give them an inch. They have no interest in war with Ukraine and the US. Know a bluff when you see it.,en,stevelaw96
5,2021-12-26 21:55:41+00:00,@FoxNews That's great that gladimir Putin came to his senses withdrew his troops from the Ukraine to avoid any wars,en,StevenDent17
6,2021-12-26 21:54:23+00:00,@FoxNews Just for perspective's sake.... how many soldiers REMAINED at the Ukraine border?\nGive us complete information. but... as FoxNews used to say...,en,Laurenciamata
7,2021-12-26 21:14:12+00:00,@FoxNews Russia 🇷🇺 have a ready troops to fighter,en,AboGn9
8,2021-12-26 21:02:01+00:00,@FoxNews Putin is firmly in control of the situation he must think Joe is too good to be true. He can do whatever he wants and America isn’t going to do anything about it. They’re getting their pipeline and they’re still going to take Ukraine these are all calculated moves.,en,a_anagra
9,2021-12-26 20:59:12+00:00,@FoxNews Yes!!  Myself and my ancestors and relatives do not want Russia coming back to the Ukraine.,en,Yelsaveta
10,2021-12-26 20:48:19+00:00,@FoxNews Europe can deal with this our military deserves a break from policing the world not our problem I mean Russia isn’t in my back yard so who cares unless they screw with Alaska I see no problem,en,demsrnuts21
11,2021-12-26 20:05:20+00:00,"@FoxNews Maybe the Donald could bring a ""Reset button""? Who gave a bunch of Uranium to Russia and charged a fortune for a ""Speech"". I'm surprised they didn't sell paintings too.. TBH We need to investigate The Clinton Foundation After 2022!",en,jimmih56
12,2021-12-26 18:47:58+00:00,"@FoxNews Amazing how much Russophobia there is on Twitter, while the same people say very little about China. China is MUCH more threatening--and is a HUGE example of how DUMB our policy elites can be: Cornering Russia while all our medicines, important stuff gets ""Made in China.""",en,MichaelGStefany
13,2021-12-26 17:29:55+00:00,"@FoxNews No Man is going to vote for a woman president, God said Woman shall not Lead over Man Let's not get away from that. Hillary and Obama was behind the LIES about Trump, trying to destroy him concerning Russia, we don't need A DIRTY WOMAN LIKE HILLARY!.",en,CarolynVetsch
14,2021-12-26 15:13:21+00:00,@FoxNews @JesseBWatters That’s what Trump was saying that the United States should be more like Russia and keep a president in office like his best friend Putin. https://t.co/MYzg7tyMr1,en,ThisGir05930067
15,2021-12-26 14:58:17+00:00,"@FoxNews He shouldn’t be threatened, but ignored by us and embarrassed by his actions. Regardless of the political party of the leader, the person occupy the office is OUR president. China and Russia laugh at us and the rest of the world is shocked how tribal and ignorant we have become.",en,Hawkcable
16,2021-12-26 06:05:16+00:00,@FoxNews Small businesses are buried in Trump's tax increases after he gave C-Corporations massive tax welfare discounts. The taxes transferred directly to all taxpayers. Replace Manchin. Don't you think he is likely taking money from Russia to disrupt our country? That would be treason.,en,Concern11711115
17,2021-12-26 02:21:03+00:00,@FoxNews And Russia!,en,sambow24f
18,2021-12-26 00:28:19+00:00,"@FoxNews Funny this is after all western countries idiot ""leaders"" were all for building this industrial-financially powerful behemoth called China 🇨🇳 ?\n\nHere the New and improved CHINA 🇨🇳 and its colonies,\n\nSouth Korea, Hong Kong, Taiwan, Vietnam, North Korea, Russia, soon to be more...",en,EdEspam
19,2021-12-26 00:04:56+00:00,"@FoxNews He is correct, against Russia, Iran, N Korea also.",en,NSense2021
0,2021-12-27 22:48:12+00:00,@FoxNews But still not covering the most recent GOP involvement with Russia that raises serious security concerns.\nhttps://t.co/pRFwu5SYpT,en,jayce1315
1,2021-12-27 21:00:59+00:00,"@FoxNews Hey Fox, instead of dredging up 33 year old comments in an effort to sew division and hatred why not report on conditions in Russia today? And which R politicians are in bed with Putin and his corrupt authoritarian oligarchy? https://t.co/Q1Vj5s6FUB",en,BlaneErwin
2,2021-12-27 20:55:12+00:00,@FoxNews Today Fox and the Republican Party “extol” Russia.,en,_USAPatriot_
3,2021-12-27 20:49:23+00:00,"@FoxNews After 4 years of FOX defending Trump, who told the world Russia, a country who's total revenue is smaller than California's, that they are better than us, you find this on Berni? Re-watch Helsinki &amp; ur review.\nYou people must be desperate.\nAre the walls crumbling around Fox?\n👍",en,sandismithusa
4,2021-12-27 20:48:23+00:00,@FoxNews if Ukraine has a battle-ready military of 400K why is Putin parking on their frontier any business for the US?,en,casareilly
5,2021-12-27 20:30:48+00:00,"@FoxNews Speaking of Russia, have you heard the one about the congressman in a wheelchair that was hanging out in a Russian casino?",en,jrreece1623
6,2021-12-27 20:27:59+00:00,"@FoxNews Madison Cawthorn extolled the Russian military yesterday. \n\nBy the way, former president and insurrection advocate Donald Trump extolled Russia from 2016 to 2020. And then his presidency collapsed.",en,dialogician
7,2021-12-27 20:09:58+00:00,"@FoxNews Russia, figures our borders are so weak. Might as well reduce and remove 10,000 Troops.",en,dbriggs0521
8,2021-12-27 19:49:03+00:00,@FoxNews Fox: Russia Propaganda Network,en,_USAPatriot_
9,2021-12-27 19:15:10+00:00,"@FoxNews ""Wait, Trump set up his 2016 GOP Convention HQ in a Cleveland hotel owned by UKRAINIAN RuMOB BOSS IHOR KOLOMOISKY? \n\nWhere they changed the GOP platform to leave Ukraine undefended? ""\n\nhttps://t.co/1FDWZOeiOe",en,rokmoto131
10,2021-12-27 18:18:46+00:00,"@FoxNews @tedcruz That is a blatant lie. But what do you expect from right wing Fascist propaganda media that makes a living on lies.\n\nTed Cruz blocked critical diplomatic nominees (who are professionals not radicals), in an effort to stop a critical pipeline for Germany from Russia.",en,rocha_earl
11,2021-12-27 18:15:51+00:00,"@FoxNews Right, Cuba and Russia and Venezuela will pass us by",en,fxes
12,2021-12-27 17:58:59+00:00,"@FoxNews When one person/party has unchecked control of elections, you’re taking away the voice of the people. We’re going the way of Russia.",en,NotTodayLuv
13,2021-12-27 13:42:23+00:00,"@FoxNews In Germany under Hitler, Russia under Stalin, China under Mao the children are considered property of the state and were taken from parents for education or work.\n\nThis a key item in Marxist socialism.",en,USA1LandofFree
14,2021-12-27 10:13:34+00:00,"@FoxNews that's because kids are easier to control and abide by the state's dictates, just like Russia and China....her view of paradise, don't forget Venezuela",en,jeansbluejeans
15,2021-12-27 01:29:10+00:00,@FoxNews Fox News wants Russia and China to know the operational readiness of our forces.,en,francisbarcsone
0,2021-12-28 23:40:06+00:00,"@FoxNews She's just a talking head. She has no clue what she's reading. Where are all of the demands to retract statements about Trump's ""Russia collusion""? Nothing on that front, huh?",en,_Br0din_
1,2021-12-28 20:02:44+00:00,@FoxNews Russia is taking another country and we can’t even take care of ourselves,en,JamesDonovan18
2,2021-12-28 19:41:41+00:00,@FoxNews This guy Madfow still hasn't apogized for the Russia hoax.,en,Jack62595369
3,2021-12-28 18:50:39+00:00,@FoxNews Who remembers when Russia &amp; Germany used to drug the females with hormones to make them perform like dudes…🤷🏾‍♀️ now we have dudes saying their females 🤦🏾‍♀️GO FIGURE… Cheating is CHEATING 😡,en,Joy4_NewAge
4,2021-12-28 18:26:00+00:00,"@FoxNews No he didn’t. Time to snap back to reality @GOP and @FoxNews. The current biggest threat to this country is the insurrectionist members of the GOP, which is apparently growing and how dedicated they are to Russia and Russian disinformation.",en,JaneChoco
5,2021-12-28 15:10:12+00:00,"@FoxNews I used to believe that the worst enemy of the United States were Russia and China. That was long ago before I discovered MTG &amp; Fox News. Fox News and the entire GOP crave for Biden’s failure that Russia &amp; China combined. The real enemy is within, folks.",en,jst_brown
6,2021-12-28 13:59:47+00:00,@FoxNews Trump and associates are connected to Russia. https://t.co/QSnGTj554T,en,Mission28039176
7,2021-12-28 13:49:27+00:00,"@FoxNews Can anyone tell me how exactly the dossier was debunked? Especially, when we witnessed Trump ask Russia for assistance on live television",en,a_brown35
8,2021-12-28 13:25:45+00:00,"@FoxNews Record high stock market record high property values record high wage growth 4.2% unemployment biggest infrastructure deal ever, ending wars, forcing putin to withdraw from Ukraine. Biggest holiday sales increase in 17 years. Pretty great.",en,JohnBrown1858
9,2021-12-28 12:20:04+00:00,@FoxNews If your dislike President Biden ONLY because you are a disciple of Humpty Trumpty \nYou have a problem with living in a Democracy\nWhen Trump loses again in 2024 your only hope is he invites you to move to Russia with him,en,ishmael2702
10,2021-12-28 00:20:43+00:00,"@FoxNews Why does Fox News have such a close alliance with Russian media and why do you broadcast the same antiAmerican propaganda played 2 days ahead of your propaganda on Russian TV? Is Trump allied with Russia and if so, is that why you push his lies? https://t.co/6oJiZTPjyu",en,MarieDo04899294
0,2021-12-29 21:28:27+00:00,@FoxNews Perhaps we should look at FOX employees’ retirements. It would be fun to see how much Russia is paying for all the propaganda.,en,666HellAwaits
1,2021-12-29 19:01:48+00:00,@FoxNews WHY Wait it's been a YEAR already / I think they should ALL Give Back 4 Years of their Pay to the people Because of the Fake Russia Hoax !,en,thdon4u
2,2021-12-29 18:13:40+00:00,"@FoxNews @CNNPolitics @maddow \nWelcome to Byron York's Daily Memo newsletter. https://t.co/GgBgExkRNW\n\nThe left’s latest “Russia Hoax, Hoax” proving that they simply can’t face reality so they just keep pluggin’ away. It would be hilarious if it wasn’t so evil and sick.",en,CaptainNathan5
3,2021-12-29 12:43:35+00:00,@FoxNews Doing their best to help dems in mid term. Russia Russia Russia all over again,en,Judy21777281
4,2021-12-29 07:19:35+00:00,"@FoxNews Let Americans shoot each other for any reason, the USA doesn't need Russia or China to invade they are great at killing themselves.",en,PSkip38
5,2021-12-29 06:25:42+00:00,"@FoxNews Summer of 2022‼️❓STALLING'S apparantly invariably his winning TACTIC.  Fascism which is a form of the far-right, authoritarian ultranationalism characterized by dictatorial power, and forcible suppression of opposition...China,Russia,Cuba and N Korea! Is this to be our nemesis❓",en,ALFREDO15297008
6,2021-12-29 02:00:13+00:00,@FoxNews She has been lying to her viewers for years! Has she apologized about the Russia Hoax? She went on and on about it. If they choose to still watch  her garbage show or any MSM.. Then it is their own fault 🤷‍♀️,en,mandylyn43
7,2021-12-29 00:18:16+00:00,@FoxNews Is Sean Hannity Laura Ingraham Tucker Carlson and all the rest of the cast and actors on Fox Hollywood tabloid entertainment news really advocating for us to go to war with Russia over Ukraine sovereignty just come out and say that's what you want Americans to do,en,NiteStalker714
0,2021-12-30 23:14:46+00:00,@FoxNews Where is Ron Desantis?  On a ventilator with Covid?  Visiting Putin in Russia like every other Republican does? Florida is in crisis and their Governor is MIA.  PERHAPS FOX HAS MORE TO LOOK IN TO THAN STAFFER GOSSIP?!?,en,Paultx890
1,2021-12-30 18:33:53+00:00,@FoxNews dear god what is anyone allowing Biden to talk to Putin about? We have no Secretary of State with any brains or homeland security or Attorney General or anything of the sort or secretary of defense to show any strength to Russia or China or North Korea  sad,en,elaine72658
2,2021-12-30 16:52:21+00:00,"@FoxNews Oklahoma is following the lead of the Nazi Party, Soviet Russia and the Chinese Communist Party. \n\nIt seems the GQP doesn’t believe that you should be free to think, or free to read what you choose to read.",en,vinny24240701
3,2021-12-30 16:19:23+00:00,@FoxNews must get a lot of money from their motherland Russia. https://t.co/e5aejt7Xcy,en,mountain_rider_
4,2021-12-30 13:06:50+00:00,"@FoxNews Kamela, Hillary or Sarah Pain it doesn't matter sides,\n America is not ready for female politicians. Can you imagine USA with a female President. China, Russia, Japan, Argentina and other powerful countries would not respect us. No issue with women being Secretary of State.",en,festive2018
5,2021-12-30 12:08:58+00:00,@FoxNews Forgotten promises.\n1. “I’ll shut down this virus”.\n2. “I’ll get a grip on crime”.\n3. “I’ll bring peace to the people of Afghanistan”.\n4. “I’ll build a strong economy”.\n5. “I’ll unite 🇺🇸.”\n6. “Ukraine will be safe.”\n7. “I’ll deal with Iran.” https://t.co/UT22eKNMVV,en,OhioStateNiner
6,2021-12-30 01:56:27+00:00,"@FoxNews Are these same Republican ""leaders"" slamming Russia for their recent acts........  Amazing how the tune changes when one's not owned....",en,longtimeobserv1
0,2021-12-31 22:36:29+00:00,"@FoxNews\nBiden means what he says and everyone, including Putin, knows it.\n\nBiden warns Putin the US and its allies will respond 'decisively' if Russia invades Ukraine\n https://t.co/mwp5czDtBN",en,docrozcallahn
1,2021-12-31 20:09:58+00:00,@FoxNews Better to get out of the service. With this hack administration in charge. This administration is going to have us in a war in the Ukraine,en,Zeebashi
2,2021-12-31 20:01:36+00:00,@FoxNews He was on the call with Russia and still doing his job.\n\nWhere is your post boy DeSantis who has done NOTHING to slow the spread of the virus. No state testing sights or press briefings. Just tuck and hide.,en,H486572676574
3,2021-12-31 19:02:45+00:00,@FoxNews .....and Russia and China laughs @USArmy foolery.. Continue discharging ur soldiers not because of incompetence but of vaccine refusal.. it will too late for u when the chips are down,en,youngchampnedu
4,2021-12-31 17:31:15+00:00,@FoxNews @foxnews Russia style propaganda strikes again.\n\nNYC did NOT say this.\n\nAnything to rile up their ‘base’,en,unhappytwituser
5,2021-12-31 15:46:04+00:00,"@FoxNews I think that that’s their plan to reduce the military so China and Russia can have their way with us the people of the United States.That’s my opinion. If we don’t start doing something about this soon, we are going to lose our status as the land of the free!!GOD BLESS AMERICA!",en,alma78211522
6,2021-12-31 13:41:24+00:00,@FoxNews So All Americans lose out and your happy about it? Seems like fox is against America. Clearly fox is controlled by Putin since it is so pro Russia and Anti-America.,en,LouisAn18701445
7,2021-12-31 02:51:53+00:00,"@FoxNews This is what Russia hawks don't take into consideration: Russia is not operating in a vacuum. Putin knows China will likely invade Taiwan in the near future. Putin also knows U.S.-Iranian talks not going well, and NK continues to test new missiles. Imperial Overstretch.",en,MichaelGStefany
8,2021-12-31 01:38:34+00:00,@FoxNews Every land has been conquered or taken over many time. Guess what… welcome to world. You think Ukrainian wouldn’t want their land back from Russia.. none of you bat an eye at it. The land in Israel has transferred in ownership from Dozen times or more in recorded history,en,MrFixItLiberty
0,2022-01-01 22:00:53+00:00,"@FoxNews Almost as bad as pro Russia, pro communism Tucker Carlson.....",en,ILACommissioner
1,2022-01-01 21:42:39+00:00,@FoxNews Depends upon how much money and support Russia and the Carl Christian Rove’s Dark Money Group    Funneled to candidates.,en,johnmilford3
2,2022-01-01 20:34:12+00:00,"@FoxNews He was in Russia, wasn’t he?",en,AddictedtoKCMO
3,2022-01-01 20:31:47+00:00,"@FoxNews Trump would like a word. TFG is going to be indicted. \nHe was impeached twice. \nLost the White House, Senate and House. Colluded with Russia.\nWorst ranked president in history.",en,lou_g33
4,2022-01-01 19:02:57+00:00,@FoxNews Another trader when is wrong going to be wrong how can these Congress men and women who traded on our country to over throw a election still be in office they should all be in trouble trying make our country like Russia and silence people who speak out,en,stephen35880813
5,2022-01-01 18:43:55+00:00,@FoxNews I’m guessing he was in Russia getting instruction from putin in how to “win” the next presidential election.,en,PinnickBrenda
6,2022-01-01 18:05:52+00:00,"@FoxNews It’s interesting how Biden (allegedly) won the election one ago and today has less than half of those supporters have disappeared, to where? I hope that the media and war mongers stay out of decisions leading toward a war with Russia. We are being led by a corrupt group.",en,brorat1
7,2022-01-01 13:45:27+00:00,"@FoxNews Behind the scenes, #Ukraine 0, #Russia 1, 2, what 3",en,zanderkon
8,2022-01-01 05:49:25+00:00,@FoxNews How much hatred you carry? I only hear hateful and demeaning words that Russia and Murdoch demands from his employees to divide citizens not only in America but Australia and the UK. Tucker who drips w/money from his company Swanson is doing Murdoch’s shameful agenda,en,Stacey87698036
9,2022-01-01 05:47:49+00:00,@FoxNews Why is the US interested in the corrupt Ukraine?,en,Camburnclimate
10,2022-01-01 05:34:03+00:00,@FoxNews @mikepompeo sold out his Ukraine ambassador because Rudy ordered him to.,en,cubsandpackfan
11,2022-01-01 04:45:40+00:00,@FoxNews Remind me what exactly did Pompeo or Trump do to be tough on Russia?\n\nWhat a joke! https://t.co/oScdWBpGZv,en,ez2bFISH
