,Date,text
12,2022-04-29 20:30:05+00:00,"The FDA on Friday laid out a tentative timetable for deciding whether to authorize a coronavirus vaccine for children under 5, announcing that June 8 is the earliest date that it will present data to its outside advisers for a recommendation. http"
13,2022-04-29 20:25:02+00:00,"Today is the 30th anniversary of the 1992 LA riots. At the time, Héctor Tobar was a young reporter at The Los Angeles Times when the city erupted in violence. In this week's @user cover story, he remembers: what really happened — and what didn’t? http"
14,2022-04-29 20:19:05+00:00,"“We want to go home,” a girl says in one video. “We want to see the sunshine.”

In the absence of independent media to chronicle their plight, fighters inside a steel plant in Mariupol, Ukraine, are publishing videos to show the world their hardship. http"
15,2022-04-29 20:13:31+00:00,"Breaking News: Stocks plunged nearly 9% in April, the S&amp;P 500’s worst month since March 2020, as investors’ fears about the economic outlook mounted. http"
16,2022-04-29 20:10:05+00:00,"Hundreds of New York City construction workers gathered for an annual Mass at St. Patrick’s Cathedral on Thursday honoring colleagues who died on the job. Most were non-union workers, who are disproportionately injured and killed at construction sites. http http"
17,2022-04-29 20:05:02+00:00,"A federal judge on Friday sentenced a British terrorist to life in prison for his central role in the kidnap, torture and killing of Western hostages who were held by the Islamic State in Syria. http"
18,2022-04-29 19:59:27+00:00,Read this story in Arabic: http http
19,2022-04-29 19:50:02+00:00,"The body of Vira Hyrych, a prominent Ukrainian radio journalist, was recovered after a Russian missile strike on her apartment building in Kyiv. She had worked for Radio Free Europe/Radio Liberty, a U.S.-funded independent news organization, since 2018.
http http"
20,2022-04-29 19:35:05+00:00,The Los Angeles Dodgers pitcher Trevor Bauer was suspended without pay for two seasons for violating MLB’s domestic violence and sexual assault policy. http
21,2022-04-29 19:30:06+00:00,"Trump-inspired Republicans challenging sitting GOP governors have harnessed anti-establishment energy. But in all of the races, the incumbents are showing strength. http"
22,2022-04-29 19:20:04+00:00,"""It’s a knife fight"": Russia appears to be ""several days behind"" schedule in its offensive on the Donbas region of eastern Ukraine as it faces stiff Ukrainian resistance and continuing supply line problems, a senior Pentagon official said Friday. http"
23,2022-04-29 19:11:02+00:00,"It began as a low-level traffic stop in Michigan. But when a white officer fatally shot Patrick Lyoya, a Black man, it turned into the type of stop that raised questions of racial profiling, use of excessive force and the overpolicing of traffic stops. http http"
24,2022-04-29 19:00:11+00:00,"A Russian oil embargo, expected to be difficult and costly to Europe, was considered unlikely when the war began. But positions have hardened, and NATO countries are sending more weapons to Ukraine and more troops to its neighbors. http"
25,2022-04-29 18:45:07+00:00,"A type of the bird flu that has led to outbreaks in poultry in 30 states has been found in a person in Colorado, federal officials announced. It is the first known human infection of the bird flu currently spreading in the U.S. http"
26,2022-04-29 18:30:08+00:00,"A large swath of the U.S. faced twin weather threats on Friday as a severe drought turned parts of the Southwest into a tinderbox, ripe for more wildfires, and powerful storms threatened to produce tornadoes and hail across the Central Plains. http"
27,2022-04-29 18:22:05+00:00,"In tragedy, music provided solace during the AIDS epidemic, and newly discovered cassette tapes captured two decades of parties and pain.
http"
28,2022-04-29 18:15:10+00:00,It was only a fish! It was only a fish! http http
29,2022-04-29 18:00:05+00:00,"A couple digitized dozens of cassettes they found in their Fire Island home. The tapes, accumulated from 1979 to 1999, captured the soundtrack to a critical juncture in gay history as the AIDS crisis emerged. http"
30,2022-04-29 17:45:10+00:00,"""It's horrible. There is nothing left.""

Her older brother went missing in besieged eastern Ukraine. Her search for him ended at a body bag. http http"
31,2022-04-29 17:33:59+00:00,Elon Musk sold $8.5 billion in Tesla stock this week as he moved to amass the funds he needs to buy Twitter. The electric carmaker’s shares have fallen 20 percent since Musk revealed that he had bought a 9 percent stake in Twitter in early April. http
32,2022-04-29 17:30:13+00:00,"This is how Gov. Ron DeSantis, a possible 2024 contender, turned Florida into an unlikely laboratory for right-wing policy. http"
33,2022-04-29 17:00:24+00:00,"Officials closed schools in Beijing on Friday, and dozens of buildings are under lockdown, as a Covid outbreak continues to alarm Chinese leaders. The government is carrying out mass testing this week for nearly all 22 million residents of China's capital. http"
34,2022-04-29 16:45:11+00:00,"Powder Springs, a predominantly Black suburb in Georgia, may soon be represented in Congress by Marjorie Taylor Greene. But some residents say they have little trust she will give them the same respect that she gives to her white, Republican constituents. http"
35,2022-04-29 16:36:45+00:00,"A prominent Ukrainian radio journalist, Vira Hyrych, was killed on Thursday in a Russian missile strike on her apartment building Kyiv. At least seven journalists have been killed while covering the war, according to the Committee to Protect Journalists. http"
36,2022-04-29 16:30:11+00:00,"The UN is helping prosecutors investigate allegations of Russian soldiers committing sexual violence against Ukrainians. But finding clear evidence that sex crimes were committed as a tactic of war is rare, and cases can be difficult to prove. http"
37,2022-04-29 16:26:30+00:00,"Breaking News: European Union countries are likely to approve as early as next week a phased embargo on Russian oil, sealing a long-postponed measure that has divided the bloc’s members and highlighted their dependence on Russian energy sources. http"
38,2022-04-29 16:00:16+00:00,"¿El coronavirus ya es endémico? Funcionarios en México, la UE y otros lugares han indicado que se está superando la fase aguda de la pandemia. Otros líderes llaman a ser cautos. Aquí analizamos lo que significa que una enfermedad se convierta en endémica. http"
39,2022-04-29 15:50:04+00:00,"Jim Ratcliffe, one of Britain’s richest men, offered $5.3 billion to buy Chelsea FC, the Premier League soccer team. It would be the highest price ever paid for a sports team. http"
40,2022-04-29 15:30:09+00:00,"Boris Becker, the six-time Grand Slam tennis champion, was sentenced to two and a half years in prison on Friday, after he was found guilty by a London court of hiding millions of dollars’ worth of assets and loans to avoid paying his debts. http"
41,2022-04-29 15:01:07+00:00,"In Opinion

""It is now quite plausible that Donald Trump could win re-election in 2024,"" David Brooks writes. ""If we’re going to prevent that kind of catastrophe, it might be a good idea to learn a few relevant lessons.""
http"
42,2022-04-29 14:45:07+00:00,"A shipment of five million honeybees was diverted to Atlanta and left out on a hot tarmac. Local beekeepers tried to come to the rescue, but very few survived. http"
43,2022-04-29 14:36:23+00:00,Exxon Mobil and Chevron on Friday reported a second consecutive quarter of robust earnings as oil and natural gas prices continued to rise. The companies said they were not seeking to ramp up production despite pressure from the Biden administration. http
44,2022-04-29 14:30:11+00:00,"A strict Covid lockdown in Shanghai highlighted China’s power to enforce its “zero-Covid” strategy. It also fueled deep frustration with the government’s failures and overreach.

 See what life under lockdown is like in China’s largest city.
http"
45,2022-04-29 14:10:05+00:00,"In Opinion

“It is unlikely that anyone has accurately predicted exactly what a Musk-led Twitter will look like,” writes Amelia Tait, a British journalist, in a guest essay. “But one thing is certain: You’d be a fool to believe in the sanctity of his vows.”http"
46,2022-04-29 14:00:03+00:00,"Elon Musk sold $4 billion in Tesla stock this week, filings show, as he amasses the funds he needs to buy Twitter. He tweeted that no further sales were planned. http"
47,2022-04-29 13:55:07+00:00,"James Corden, who has hosted “The Late Late Show” since 2015, will leave the CBS show next year, he said Thursday. Signature bits like “Carpool Karaoke” made him an overnight star. http"
48,2022-04-29 13:50:05+00:00,"The mayor of Mariupol made a desperate appeal to the international community to save those trapped at the Azovstal steel plant, which has become the last holdout for Ukrainian fighters and civilians.

“If Mariupol is hell, Azovstal is worse,” he said.
http"
49,2022-04-29 13:33:05+00:00,"Lyudmyla Denisova, Ukraine’s top human rights official, has been identifying, documenting and bearing witness to human rights violations since Russia’s invasion. Russian by origin, she has a personal understanding of repression by the Kremlin.
http http"
50,2022-04-29 13:15:04+00:00,"Hollywood’s biggest studios have stopped releasing movies in Russia since the invasion of Ukraine, and Netflix has ceased service there.

In a Cold War throwback, some venues are showing bootleg versions of the latest releases.
http"
51,2022-04-29 13:00:09+00:00,"Elon Musk’s extensive investments in China could be at risk if Twitter upsets the Communist Party state, which has banned the platform but used it extensively to push Beijing’s narrative around the globe — often with false or misleading information.
http"
52,2022-04-29 12:36:01+00:00,"President Joko Widodo of Indonesia confirmed that he invited President Volodymyr Zelensky of Ukraine to the G20 summit in Bali in November. He also said President Vladimir Putin of Russia confirmed that he would attend the summit.
http"
53,2022-04-29 12:29:06+00:00,"As the horrors of Russia’s invasion of Ukraine have became clearer, the Biden administration has pivoted to a more aggressive stance.

What risks are involved in this escalation? Listen to today’s episode of The Daily.
http"
54,2022-04-29 12:15:05+00:00,"Few soccer players have been boiled down to statistics quite so much as Thiago Alcantara of Liverpool. But his favorable metrics fail to capture what makes him an integral part of the team, writes our soccer correspondent, @user http"
55,2022-04-29 12:11:02+00:00,"Contrary to popular belief, the Anglo-Saxon ruling classes rarely ate meat, a new study found.

“When they were not having these big public feasts,” an author of the study said, “they were eating a vegetable broth with their bread like everyone else.”
http"
56,2022-04-29 12:01:09+00:00,"Here are the results of the first round of the NFL draft in Las Vegas on Thursday.
http"
57,2022-04-29 11:27:04+00:00,"Nearly 52 million South Koreans may soon have up to two years shaved off their ages (on paper), if President-elect Yoon Suk-yeol keeps a campaign promise to scrap the nation’s unique system for counting how old people are.
http"
58,2022-04-29 11:00:13+00:00,"Round 1 of the NFL draft was a big night for linemen, receivers and the state of Georgia, but a very quiet one for quarterbacks.

Here's what we learned. http"
59,2022-04-29 10:32:06+00:00,"Russian forces are making “slow and uneven” progress in fierce fighting in the Donbas region of eastern Ukraine, but are still struggling to overcome the same supply line problems that hampered their initial offensive, a Pentagon official said. http"
60,2022-04-29 10:25:05+00:00,"The Jets made a trade to add a third first-round pick in the NFL draft on Thursday, using it to select the Florida State defensive end Jermaine Johnson II at No. 26. http"
61,2022-04-29 10:20:07+00:00,"An equine influenza virus likely caused the mysterious respiratory disease that has killed at least 95 wild horses and forced a holding facility in Colorado to go under quarantine, the Bureau of Land Management said.
http"
62,2022-04-29 10:10:05+00:00,"The eurozone economy grew by 0.2% during the first three months of the year as rising prices, flagging consumer confidence related to the war in Ukraine and supply chain disruptions dragged the region’s recovery from the pandemic. http"
63,2022-04-29 10:05:06+00:00,"The Titans selected Treylon Burks, a wide receiver from Arkansas, with the No. 18 pick in the first round of the NFL draft. The move was enabled by the blockbuster trade of AJ Brown to the Philadelphia Eagles. http"
64,2022-04-29 10:00:05+00:00,"Ireland’s latest census included a blank box for people to leave a message for the future. These so-called time capsules will be sealed away, to be revealed in 100 years.
http"
65,2022-04-29 09:50:06+00:00,The Baltimore Ravens selected the Iowa center Tyler Linderbaum with the No. 25 pick in the first round of the NFL draft on Thursday. http
66,2022-04-29 09:29:03+00:00,"Ukraine published the names and photos of 10 Russian soldiers whom they accuse of kidnapping and torturing unarmed civilians in the town of Bucha, the most detailed accusation yet against Russian forces in Ukraine.
http http"
67,2022-04-29 09:15:06+00:00,Here's a look at some of the highlights worth watching from late-night TV. http
68,2022-04-29 08:54:27+00:00,"Ukraine’s Holocaust survivors have early memories of fleeing bombs or hearing about massacres of other Jews, including their relatives.

Now elderly and fragile, they are escaping war once more. But this time they are seeking safety in Germany.
http"
69,2022-04-29 08:32:08+00:00,"The premier of the British Virgin Islands was arrested on Thursday in Miami on drug trafficking and money laundering charges, the authorities said. http"
70,2022-04-29 08:00:09+00:00,"No matter how stocked your vacation rental may be, here are five items @user suggests you bring with you, just in case. http http"
71,2022-04-29 07:28:07+00:00,"A day after Russia cut off gas supplies to Poland and Bulgaria, the German chancellor, Olaf Scholz, said that Germany could be next. “We have to be ready for it,” he said. http"
72,2022-04-29 07:00:15+00:00,"The British military will send 8,000 troops to Europe as part of a larger allied deployment, the Joint Expeditionary Force, to deter further Russian aggression, officials said. http"
73,2022-04-29 06:00:06+00:00,"Russia struck Kyiv with missiles after weeks of peace in Ukraine’s capital, showing that it would not relent in its assault. President Biden asked Congress to authorize $33 billion more in aid for Ukraine.

Follow live updates. http"
74,2022-04-29 05:00:10+00:00,"""Youth is a mind-set that Martha is still really owning."" Martha Stewart is the new face of skin care on TikTok. http"
75,2022-04-29 04:40:06+00:00,"In a year when control of Congress is at stake and the Republican Party is dominated by the right, Senator Lisa Murkowski of Alaska is running for re-election by leaning into her bipartisan ties as a proud GOP moderate willing to defy party orthodoxy. http"
76,2022-04-29 04:00:11+00:00,Probiotic supplements that claim to prevent or treat common vaginal problems like yeast infections and bacterial vaginosis are lining drugstore shelves and online marketplaces. But do they work? Here's what experts say. http
77,2022-04-29 03:40:03+00:00,"In Opinion
“When I look at the broader cultural landscape, I feel isolated in my permissiveness,” writes Matt Gross. “Parents — or at least the parents who seem to win media attention — are freaking out over everything their kids see, read and do.”
http"
78,2022-04-29 03:00:03+00:00,"The Ukrainian soprano Liudmyla Monastyrska, replacing the Russian soprano Anna Netrebko in “Turandot” at the Metropolitan Opera, is using her platform to defend her country. “I was surprised, but I felt it was important for me to sing,” Monastyrska said. http"
79,2022-04-29 03:00:02+00:00,"President Biden signaled a vast increase in America’s commitment to defeating Russia in Ukraine on Thursday as he asked Congress to authorize $33 billion for more artillery, antitank weapons and other hardware as well as economic and humanitarian aid. http"
80,2022-04-29 02:40:02+00:00,"Masks will again be required on Bay Area Rapid Transit, making the largest transit system in the San Francisco area the only one currently enforcing a masking requirement.
http"
81,2022-04-29 02:30:04+00:00,"Russian forces are making “slow and uneven” progress in fierce fighting in the Donbas region of eastern Ukraine, but are still struggling to overcome the same supply line problems that hampered their initial offensive, a Pentagon official said. http"
82,2022-04-29 02:10:02+00:00,"The premier of the British Virgin Islands was arrested on Thursday in Miami on drug trafficking and money laundering charges, the authorities said. http"
83,2022-04-29 02:00:07+00:00,"In Michigan, the Republican old guard is protesting the direction of the party after it put forward two candidates endorsed by Donald Trump — both outspoken about 2020 election falsehoods — for attorney general and secretary of state. http"
84,2022-04-29 01:40:03+00:00,"Airbnb told employees that they would have the option to permanently work remotely, joining a number of companies that have ditched return-to-office plans. U.S. employees can also move to anywhere in the country without a reduction to their compensation. http"
85,2022-04-29 01:30:03+00:00,"A shipment of five million honeybees was diverted to Atlanta and left out on a hot tarmac. Local beekeepers tried to come to the rescue, but very few survived. http"
86,2022-04-29 01:10:04+00:00,"Russian forces carried out an airstrike on Thursday on a residential neighborhood in the central Ukrainian city of Zaporizhzhia, Ukrainian authorities said, obliterating nearly an entire block of single-family homes, though no residents were killed. http http"
87,2022-04-29 01:00:07+00:00,"New York City has canceled one of three homeless shelters it planned to open in Chinatown after resistance from residents who feared that more shelters would mean an increase in anti-Asian hate crimes, many of which have been linked to homeless people.
http"
88,2022-04-29 00:26:21+00:00,"The Jacksonville Jaguars selected Travon Walker, a defensive lineman from Georgia, with the No. 1 pick in the NFL draft. 

Follow live NFL draft updates here. 
http"
89,2022-04-29 00:20:06+00:00,"A study found that for predicting some dog behaviors, breed is essentially useless, and for most, not very good. http http"
90,2022-04-29 00:00:05+00:00,A jury in Colorado awarded $8.75 million on Wednesday to the plaintiffs in a civil lawsuit who accused a former fertility doctor of using his own sperm to impregnate at least a dozen women via artificial insemination over more than two decades. http
91,2022-04-28 23:40:06+00:00,"Sheryl Crow battled sexism in the music industry and darkness for decades. Now, she’s telling her story in a new documentary: “I see myself as a person, as opposed to who I saw myself as at the time, which was an artist and a woman fronting a company.” http"
92,2022-04-28 23:00:11+00:00,"Republicans' new fake threat: GOP candidates in Ohio and elsewhere have created a new stolen election fiction by falsely saying that undocumented immigrants are committing voter fraud, a claim that has been repeatedly discredited. http"
93,2022-04-28 22:40:06+00:00,"Walter Isaacson, who wrote about Benjamin Franklin and Steve Jobs, is working on a new biography about Elon Musk. It’s like “trying to take notes while drinking from a fire hose,” he said. http"
94,2022-04-28 22:00:18+00:00,"Ramadan is a time of community, when friends, families and even strangers come together to break their fast. The iftar meal is a chance to take stock at a moment when many say that Sudan is drifting perilously, leaving them uncertain what comes next. http"
95,2022-04-28 21:55:04+00:00,"James Corden, who has hosted “The Late Late Show” since 2015, will leave the CBS show next year. Signature bits like “Carpool Karaoke” made him an overnight star. http"
96,2022-04-28 21:50:11+00:00,"The city of Redmond, Washington, has reached a $7.5 million settlement with the family of Andrea Thomas Churna, 39, who was fatally shot in her apartment building in September 2020 by a police officer who responded to her 911 call for help. http"
97,2022-04-28 21:32:26+00:00,Breaking News: Oklahoma lawmakers approved a bill banning abortions after about six weeks of pregnancy. The ban would limit access for women in the state and those coming there to work around increasingly strict laws in the South. http
98,2022-04-28 21:15:06+00:00,"Victims of discrimination that is forbidden by four federal statutes may not sue if the only harm was emotional distress, the Supreme Court ruled on Thursday. The decision was split, 6 to 3, along ideological lines. http"
99,2022-04-28 21:00:09+00:00,"In states like Pennsylvania, Nevada and Georgia, the battle over sweeping new restrictions on voting are spilling into the midterm elections — many Republicans driving the clampdown are on the ballot themselves this year.
http"
100,2022-04-28 20:40:05+00:00,"Florida has enacted new restrictions on abortion, curriculum, sexual orientation, gender identity and even Disney. Under Gov. Ron DeSantis, the state’s political identity has turned into a laboratory of possibility for the political right. http"
101,2022-04-28 20:20:09+00:00,"President Biden is considering wiping out some student loan debt and will make a decision soon, he said. The amount would not be $50,000 per borrower, which some Democrats and advocates are pushing for as a way to address economic and racial disparities.
http"
102,2022-04-28 20:00:05+00:00,"The release of a former U.S. Marine as part of a prisoner exchange with Russia on Tuesday brought fresh attention to the cases of other Americans who are still detained in Russia, including Brittney Griner. Here's what we know so far about her case. http"
103,2022-04-28 19:45:03+00:00,"Is the coronavirus now endemic? Officials in Mexico, the EU and elsewhere have recently said they are moving on from the acute phase of the pandemic. As other global leaders urge caution, we examined what it means for a disease to be endemic. http"
104,2022-04-28 19:30:13+00:00,"Despite the tens of thousands of lawsuits filed against the company over concerns about asbestos contamination, Johnson &amp; Johnson’s investors voted against a proposal to discontinue global sales of its talc baby powder. http"
105,2022-04-28 19:15:05+00:00,Twitter executives and content moderators warned that Elon Musk doesn’t understand the issues that can arise if he drops the app’s guardrails around speech. http
106,2022-04-28 19:00:09+00:00,"The oceans could experience a mass extinction by 2300 if fossil fuel emissions continue to rise, a study found. The species loss would be on par with the mass extinction that wiped out the dinosaurs — but there is still time to avoid it. http"
107,2022-04-28 18:40:07+00:00,"“The cost of this fight is not cheap,” President Biden said on Thursday as he called on Congress to approve $33 billion in additional aid for Ukraine, arguing that American weapons and humanitarian assistance are helping to beat back Russian forces. http http"
108,2022-04-28 18:20:08+00:00,"Measles cases have surged by nearly 80% worldwide so far this year, a dire consequence of pandemic-related disruptions to childhood vaccinations, the UN Children’s Fund and the WHO said. http"
109,2022-04-28 18:00:13+00:00,"France’s traditional left- and right-wing parties provided three-quarters of the country’s presidents and nearly all of its prime ministers since the 1950s. But in the first round of April’s presidential election, they got less than 7% of the vote. http"
110,2022-04-28 17:45:07+00:00,"As unions decline and many members maintain support for Donald Trump, Democrats like Rep. Marcy Kaptur of Ohio are finding their base of support eroding. And now, a new Republican-drawn district outside Cleveland has robbed her of reliable votes. http"
111,2022-04-28 17:30:05+00:00,The Snapchat maker unveiled a pocket-size drone camera on Thursday called Pixy that it’s selling for $229.99. http
112,2022-04-28 17:20:07+00:00,"President Biden asked Congress on Thursday for $33 billion in additional aid for Ukraine, saying “the cost of this fight is not cheap,” but that, “caving to aggression is going to be more costly if we allow it to happen.” http http"
113,2022-04-28 17:00:14+00:00,"“There’s definitely a sci-fi element to it,” an engineer who worked on Perseverance’s parachute system said of photographs released on Wednesday. “It exudes otherworldly, doesn’t it?”
http http"
114,2022-04-28 16:30:06+00:00,"The FDA announced a plan to ban sales of menthol-flavored cigarettes. Public health experts say the proposal could save hundreds of thousands of lives, especially among Black smokers — 85% of whom use menthol products. http http"
115,2022-04-28 16:25:05+00:00,"The son of the novelist Paul Auster, Daniel Auster, who was charged in the death of his 10-month-old daughter from heroin and fentanyl exposure, died on Tuesday following a drug overdose, two law enforcement officials said. http"
116,2022-04-28 16:00:08+00:00,"Frankie Light is one of the newest “YouTube polyglots.” He studies languages and practices them in New York, enlisting strangers as impromptu conversational partners: “I wanted to prove that I could do something challenging if I put my mind to it.” http"
117,2022-04-28 15:42:43+00:00,"Breaking News: The FDA announced a plan to ban sales of menthol-flavored cigarettes. Public health experts say the proposal could save hundreds of thousands of lives, especially among Black smokers — 85% of whom use menthol products. http"
118,2022-04-28 15:40:35+00:00,"Over the past 15 years, many college-educated workers have experienced a gap between their expectations and their job prospects. Now, they’re fighting back by unionizing, raising the possibility of a once-in-a-century revival of the labor movement. http"
119,2022-04-28 15:30:16+00:00,"In Opinion

President Biden has done more for rural America than Donald Trump ever did, Robert Leonard, an author, writes in a guest essay. ""The rural economy is stronger, wages are higher and infrastructure projects are popping up all over."" http"
120,2022-04-28 15:25:20+00:00,"“The cost of this fight is not cheap, but caving to aggression is going to be more costly if we allow it to happen,” President Biden said in a speech on Russia’s war in Ukraine.

Watch live, with analysis from our reporters. http"
121,2022-04-28 15:15:01+00:00,"Twitter reported $1.2 billion in revenue for the first three months of the year, up 16% from a year before but lower than the 20% growth rate the company predicted for the year, giving Elon Musk an up-close look at the strength of his newest business. http"
122,2022-04-28 15:01:29+00:00,"Breaking News: President Biden asked Congress for $33 billion more to aid Ukraine. The request is more than twice the size of the $13.6 billion package lawmakers approved and Biden signed last month. 

Follow live updates: http"
123,2022-04-28 15:01:05+00:00,"Covid lockdowns have snarled logistics and increased unemployment across China, prompting the country’s leaders this week to order a wide range of measures to try and stop the economy slowing further.
http"
124,2022-04-28 14:42:03+00:00,"An Afghan immigrant stabbed three clerics in Iran last month, killing two of them. The attack set off a chain of events that has spiraled into ethnic tensions, a diplomatic crisis between the two countries and both sending troops to their shared border.
http"
125,2022-04-28 14:30:14+00:00,Breaking News: President Biden will propose making it easier for the U.S. to seize assets of Russian oligarchs and use the proceeds to help Ukraine in its war against Russia. http
126,2022-04-28 14:27:04+00:00,"""If something needed to get done, and you knew it had to get done, it was Timmy,"" said a colleague of Timmy Klein, a firefighter who died in a Brooklyn blaze.

He will be buried three years after giving a eulogy for a friend who died in the line of duty. http"
127,2022-04-28 14:01:08+00:00,"“Call My Agent!,” a French show about a Parisian talent agency, became a global hit after it appeared on Netflix in 2016.

A British version, “Ten Percent,” will premiere on Friday on Sundance Now and AMC+ in the U.S. and on Amazon in Britain and Canada.
http"
128,2022-04-28 13:51:06+00:00,"At least 85 wild horses have died from an “unknown yet highly contagious” disease at a facility in Colorado, the Bureau of Land Management said.

It’s the second time in recent weeks that the bureau closed a horse facility because of widespread illness.
http"
129,2022-04-28 13:38:03+00:00,"Medicare Advantage plans deny needed care that should be covered to tens of thousands of people a year, U.S. investigators found.
http"
130,2022-04-28 13:30:14+00:00,"In Opinion

""One need not find Elon Musk personally or politically appealing to appreciate that his contributions to humanity could end up being profound,"" Farhad Manjoo writes. http"
131,2022-04-28 13:20:05+00:00,"Jon Krakauer, who wrote the book “Under the Banner of Heaven,” and Dustin Lance Black, who adapted it into a new mini-series coming to Hulu, talked to The New York Times about murder, the Mormon Church and why truth-telling is an act of kindness. http"
132,2022-04-28 13:15:05+00:00,"G/O Media, the owner of websites that once belonged to Gawker Media, has acquired the business news site Quartz. It’s the latest deal in a wave of consolidation among digital publishers. http"
133,2022-04-28 13:00:24+00:00,"Three in five Americans have been infected with Covid. What does this mean for immunity, and the for future of the pandemic? Listen to today's episode of The Daily. http"
134,2022-04-28 12:55:07+00:00,"Congress passed Title IX, forbidding sex-based discrimination in sports, almost 50 years ago. 

As its anniversary, on June 23, approaches, historians and athletes reflected on the long struggle for equality in women’s sports and overlooked pioneers.
http"
135,2022-04-28 12:46:00+00:00,"Breaking News: The U.S. economy shrank in the first quarter, but the numbers may mask the recovery’s resilience.

GDP, adjusted for inflation, declined 0.4% in the first quarter, or 1.4% on an annualized basis, the Commerce Department said.
http"
136,2022-04-28 12:29:05+00:00,"Covid treatments are widely available to at-risk people in New York City, but many may not even know they exist. Here’s how to get them. http"
137,2022-04-28 12:15:04+00:00,"Two South Korean men have been arrested on charges of stealing military secrets on behalf of a suspected North Korean spy agent who paid them in cryptocurrency, the police said. http"
138,2022-04-28 12:00:11+00:00,"Climate change will drive thousands of viruses to jump from one species of mammal to another over the next 50 years, a new study has shown. As the planet warms, bats in Southeast Asia will be especially prone to spreading viruses to other mammals. http"
139,2022-04-28 11:45:07+00:00,Temperatures climbed to 112 degrees Fahrenheit in parts of India this week. The extreme heat wave that has been pummeling India and Pakistan is expected to intensify over the weekend. http
140,2022-04-28 11:35:49+00:00,"Breaking News: Moderna said it had asked the FDA to authorize its coronavirus vaccine for children under 6, making it the first manufacturer to do so. http"
141,2022-04-28 11:27:03+00:00,"Tropical regions lost 9.3 million acres of forest in 2021, a new report found. Halting deforestation was one of the major promises to come out of the COP26 climate talks, but there has been little evidence of progress. http"
142,2022-04-28 11:15:03+00:00,"""There is no way a war can be acceptable in the 21st century,"" said António Guterres, the UN secretary general, as he toured wreckage near Kyiv. He called the war in Ukraine ""an absurdity."" http"
143,2022-04-28 11:00:15+00:00,"In Opinion

""We can have social media that connects us to our friends and family and that doesn't divide us,"" Frances Haugen, a former Facebook employee, writes. ""Europe has laid out a path that we can adapt — in our uniquely American way — and follow."" http"
144,2022-04-28 10:45:06+00:00,"To a mostly young, female audience drawn to their messages of ""girl power,"" individuality and friendship, the Spice Girls were absolutely perfect. But some critics wrote them off.

25 years later, their role in music history is still being rewritten. http"
145,2022-04-28 10:30:13+00:00,"The Met Gala returns on Monday with a “gilded glamour” dress code.

Here’s everything to know about this year's extravaganza. http"
146,2022-04-28 10:00:05+00:00,"If the plan was to terrify Poland and Bulgaria with the prospect of unheated homes and cold meals to break their will to help Ukraine, Russia chose the wrong season to halt the flow of natural gas. http"
147,2022-04-28 09:29:04+00:00,Here's a look at some of the highlights worth watching from late-night TV. http
148,2022-04-28 09:00:19+00:00,"Ed Balls
http"
149,2022-04-28 08:45:03+00:00,"The UN secretary general is visiting Ukraine in an effort to broker peace and the evacuation of civilians, after meeting with President Vladimir Putin of Russia and agreeing “in principle” on relief for people trapped in Mariupol.

Follow live updates. http"
